,tradeDate,closeIndex,turnoverValue
354,2006-06-27,1363.9,16022196955.0
355,2006-06-28,1362.89,14836163873.0
356,2006-06-29,1395.12,24225652463.0
357,2006-06-30,1393.96,22942443838.0
358,2006-07-03,1420.33,24423131531.0
359,2006-07-04,1411.01,28116073765.0
360,2006-07-05,1393.01,21154127198.0
361,2006-07-06,1418.68,21637516912.0
362,2006-07-07,1410.43,22529571028.0
363,2006-07-10,1412.12,18616784852.0
364,2006-07-11,1418.58,18958953195.0
365,2006-07-12,1419.2,24831173387.0
366,2006-07-13,1346.09,31700087656.0
367,2006-07-14,1357.13,21065092098.0
368,2006-07-17,1372.25,16046823874.0
369,2006-07-18,1373.42,14797115329.0
370,2006-07-19,1336.64,15923621350.0
371,2006-07-20,1345.19,11505538297.0
372,2006-07-21,1356.03,12442432415.0
373,2006-07-24,1358.12,12517728783.0
374,2006-07-25,1374.17,14089738586.0
375,2006-07-26,1371.3,12059952444.0
376,2006-07-27,1355.55,14751696304.0
377,2006-07-28,1341.39,13809393177.0
378,2006-07-31,1294.33,13115400910.0
379,2006-08-01,1282.06,10137959452.0
380,2006-08-02,1275.09,10180840409.0
381,2006-08-03,1271.74,8115991949.0
382,2006-08-04,1241.91,9762333439.0
383,2006-08-07,1224.1,8515702534.0
384,2006-08-08,1252.39,8387431317.0
385,2006-08-09,1251.3,7485120544.0
386,2006-08-10,1271.47,10020038303.0
387,2006-08-11,1275.65,9033367272.0
388,2006-08-14,1245.72,9870530858.0
389,2006-08-15,1265.86,8592504024.0
390,2006-08-16,1283.57,12267020733.0
391,2006-08-17,1271.63,8843865980.0
392,2006-08-18,1267.87,7951341069.0
393,2006-08-21,1270.56,8661631085.0
394,2006-08-22,1285.27,11224121514.0
395,2006-08-23,1285.68,12215591075.0
396,2006-08-24,1292.4,9416605611.0
397,2006-08-25,1295.44,11586280956.0
398,2006-08-28,1325.89,16640986510.0
399,2006-08-29,1330.16,20558598283.0
400,2006-08-30,1334.67,12994582488.0
401,2006-08-31,1338.69,13932000999.0
402,2006-09-01,1318.1,14832251927.0
403,2006-09-04,1337.24,12470373587.0
404,2006-09-05,1340.68,15959669593.0
405,2006-09-06,1346.37,13799604057.0
406,2006-09-07,1328.38,13054999552.0
407,2006-09-08,1332.15,10157793916.0
408,2006-09-11,1338.76,12839285596.0
409,2006-09-12,1347.64,15787258083.0
410,2006-09-13,1338.39,18701751194.0
411,2006-09-14,1338.28,13679517835.0
412,2006-09-15,1362.32,19594629097.0
413,2006-09-18,1375.56,18187622927.0
414,2006-09-19,1378.31,15942860310.0
415,2006-09-20,1378.46,14017239840.0
416,2006-09-21,1387.37,16026131513.0
417,2006-09-22,1374.85,18173169466.0
418,2006-09-25,1372.4,15493803707.0
419,2006-09-26,1357.65,11953758768.0
420,2006-09-27,1371.12,10897805770.0
421,2006-09-28,1387.0,14070853853.0
422,2006-09-29,1403.27,17347640073.0
423,2006-10-09,1436.07,23762250623.0
424,2006-10-10,1437.25,24024747915.0
425,2006-10-11,1435.91,18592012045.0
426,2006-10-12,1426.5,21048271007.0
427,2006-10-13,1430.88,16770803951.0
428,2006-10-16,1418.52,17341289788.0
429,2006-10-17,1414.45,15151115999.0
430,2006-10-18,1437.59,15015405334.0
431,2006-10-19,1439.38,14441180899.0
432,2006-10-20,1440.18,16526648077.0
433,2006-10-23,1408.72,17710776103.0
434,2006-10-24,1440.05,16151232545.0
435,2006-10-25,1446.83,21177150676.0
436,2006-10-26,1456.1,21300294417.0
437,2006-10-27,1439.05,21496189402.0
438,2006-10-30,1446.24,19874454982.0
439,2006-10-31,1464.47,21463617498.0
440,2006-11-01,1479.41,23518429064.0
441,2006-11-02,1479.66,24757963551.0
442,2006-11-03,1488.29,23319284127.0
443,2006-11-06,1507.89,25221678236.0
444,2006-11-07,1516.1,27894549966.0
445,2006-11-08,1498.17,19140307948.0
446,2006-11-09,1524.71,22283038119.0
447,2006-11-10,1504.06,31931185346.0
448,2006-11-13,1475.78,25176222093.0
449,2006-11-14,1493.78,22029308293.0
450,2006-11-15,1534.76,26135569100.0
451,2006-11-16,1533.29,34127308461.0
452,2006-11-17,1562.08,26950444425.0
453,2006-11-20,1593.16,32990614478.0
454,2006-11-21,1612.25,32628579472.0
455,2006-11-22,1624.03,38065264000.0
456,2006-11-23,1634.91,31474406048.0
457,2006-11-24,1636.58,32398044934.0
458,2006-11-27,1651.8,32057818416.0
459,2006-11-28,1644.01,29502974821.0
460,2006-11-29,1667.14,30895012009.0
461,2006-11-30,1714.36,39869047599.0
462,2006-12-01,1729.22,41045221076.0
463,2006-12-04,1780.74,46947580844.0
464,2006-12-05,1794.23,47255774605.0
465,2006-12-06,1779.41,53383291513.0
